,0
408,249346.84
409,40638.426
410,44187.465
411,40638.426
412,1267.3009
413,1267.3009
414,285158.8
415,1267.3009
416,1267.3009
417,1267.3009
418,2528.7883
419,1267.3009
420,2528.7883
421,1267.3009
422,35111.504
423,59371.605
424,35111.504
425,35111.504
426,35111.504
427,-409.69974
428,35111.504
429,8981.9375
430,59371.605
431,15758.92
432,1267.3009
433,-1649.4304
434,-409.69974
435,1267.3009
436,-409.69974
437,5736.101
438,1267.3009
439,-409.69974
440,-409.69974
441,-409.69974
442,-409.69974
443,-409.69974
444,51076.703
445,-409.69974
446,-409.69974
447,-409.69974
448,-409.69974
449,-409.69974
450,38028.953
451,143624.44
452,3653.916
453,143624.44
454,143624.44
455,143624.44
456,143624.44
457,143624.44
458,143624.44
459,143624.44
460,1267.3009
461,1267.3009
462,1267.3009
463,51076.703
464,1267.3009
465,3653.916
466,1616.1915
467,1616.1915
468,1616.1915
469,1616.1915
470,1968.2856
471,16418.564
472,1267.3009
473,8981.9375
474,253257.34
475,9741.434
476,1267.3009
477,1267.3009
478,1267.3009
479,1267.3009
480,1267.3009
481,1267.3009
482,1267.3009
483,1267.3009
484,1267.3009
485,1267.3009
486,1267.3009
487,1267.3009
488,1267.3009
489,1267.3009
490,1267.3009
491,212568.14
492,1183667.4
493,1801.5664
494,1267.3009
495,1267.3009
496,1267.3009
497,1267.3009
498,1267.3009
499,1267.3009
500,1267.3009
501,1267.3009
502,1267.3009
503,1267.3009
504,1267.3009
505,1267.3009
506,1267.3009
507,1267.3009
508,1267.3009
509,3653.916
510,167232.98
511,167232.98
512,789.1295
513,52934.285
514,789.1295
515,789.1295
516,3653.916
517,3653.916
518,789.1295
519,3653.916
520,241593.62
521,94499.75
522,5736.101
523,5736.101
524,5736.101
525,94499.75
526,94499.75
527,77497.734
528,1267.3009
529,1267.3009
530,1267.3009
531,1267.3009
532,1267.3009
533,1267.3009
534,1267.3009
535,1267.3009
536,1267.3009
537,1267.3009
538,1267.3009
539,1267.3009
540,1267.3009
541,1267.3009
542,1267.3009
543,77497.734
544,1267.3009
545,1267.3009
546,1267.3009
547,1267.3009
548,1267.3009
549,1267.3009
550,1267.3009
551,1267.3009
552,1267.3009
553,1267.3009
554,1267.3009
555,1267.3009
556,1267.3009
557,1267.3009
558,1267.3009
559,116897.44
560,77497.734
561,1267.3009
562,1267.3009
563,1267.3009
564,1267.3009
565,1267.3009
566,1267.3009
567,1267.3009
568,1267.3009
569,1267.3009
570,1267.3009
571,1267.3009
572,1267.3009
573,1267.3009
574,1267.3009
575,1267.3009
576,1267.3009
577,1267.3009
578,1267.3009
579,1267.3009
580,1267.3009
581,1267.3009
582,1267.3009
583,1267.3009
584,1267.3009
585,1267.3009
586,1267.3009
587,1267.3009
588,1267.3009
589,1267.3009
590,1267.3009
591,77497.734
592,4237.2734
593,4237.2734
594,4237.2734
595,59371.605
596,10738.682
597,10738.682
598,10738.682
599,10738.682
600,83270.97
601,83270.97
602,83270.97
603,10738.682
604,77497.734
605,10738.682
606,124279.41
607,81380.98
608,81380.98
609,59761.668
610,59761.668
611,958.7317
612,958.7317
613,958.7317
614,958.7317
615,958.7317
616,958.7317
617,10075.194
618,10075.194
619,958.7317
620,10075.194
621,6109.2163
622,1193959.0
623,85834.1
624,1161.9884
625,6109.2163
626,6109.2163
627,1012003.0
628,1161.9884
629,22354.656
630,22354.656
631,22354.656
632,22354.656
633,22354.656
634,14187.714
635,14187.714
636,14187.714
637,14187.714
638,14187.714
639,1161.9884
640,1161.9884
641,1161.9884
642,1161.9884
643,5619.7583
644,5619.7583
645,5619.7583
646,5619.7583
647,5619.7583
648,5619.7583
649,5619.7583
650,5619.7583
651,5619.7583
652,5619.7583
653,5619.7583
654,5619.7583
655,5619.7583
656,5619.7583
657,5619.7583
658,5619.7583
659,5619.7583
660,5619.7583
661,5619.7583
662,5619.7583
663,5619.7583
664,5619.7583
665,5619.7583
666,5619.7583
667,5619.7583
668,5619.7583
669,5619.7583
670,5619.7583
671,5619.7583
672,5619.7583
673,5619.7583
674,5619.7583
675,5619.7583
676,5619.7583
677,5619.7583
678,5619.7583
679,5619.7583
680,5619.7583
681,5619.7583
682,5619.7583
683,5619.7583
684,5619.7583
685,5619.7583
686,5619.7583
687,5619.7583
688,5619.7583
689,5619.7583
690,5619.7583
691,5619.7583
692,5619.7583
693,5619.7583
694,5619.7583
695,5619.7583
696,5619.7583
697,5619.7583
698,5619.7583
699,5619.7583
700,5619.7583
701,5619.7583
702,5619.7583
703,5619.7583
704,5619.7583
705,5619.7583
706,5619.7583
707,5619.7583
708,5619.7583
709,5619.7583
710,5619.7583
711,5619.7583
712,5619.7583
713,5619.7583
714,5619.7583
715,5619.7583
716,5619.7583
717,5619.7583
718,5619.7583
719,5619.7583
720,5619.7583
721,5619.7583
722,5619.7583
723,5619.7583
724,5619.7583
725,5619.7583
726,5619.7583
727,5619.7583
728,5619.7583
729,5619.7583
730,5619.7583
731,5619.7583
732,5619.7583
733,5619.7583
734,5619.7583
735,5619.7583
736,5619.7583
737,5619.7583
738,5619.7583
739,5619.7583
740,5619.7583
741,5619.7583
742,5619.7583
743,5619.7583
744,5619.7583
745,5619.7583
746,5619.7583
747,5619.7583
748,5619.7583
749,5619.7583
750,5619.7583
751,5619.7583
752,5619.7583
753,5619.7583
754,5619.7583
