,0
418,3570.6692
419,99.72535
420,4660.267
421,99.72535
422,453.94333
423,1086.8168
424,740.9696
425,740.9696
426,740.9696
427,144.49937
428,740.9696
429,442.7595
430,1086.8168
431,1606.6501
432,93.74848
433,54.386105
434,135.36058
435,99.72535
436,135.36058
437,58.726776
438,93.74848
439,144.49937
440,135.36058
441,135.36058
442,144.49937
443,144.49937
444,43119.293
445,144.49937
446,106.90592
447,135.36058
448,135.36058
449,135.36058
450,4495.0073
451,39203.73
452,128.78201
453,12442.2
454,12442.2
455,12442.2
456,39203.73
457,39203.73
458,39203.73
459,12442.2
460,93.74848
461,93.74848
462,93.74848
463,43119.293
464,93.74848
465,56.886787
466,618.6248
467,618.6248
468,618.6248
469,618.6248
470,35.791267
471,1116.3511
472,93.74848
473,442.7595
474,14244.868
475,710.4986
476,99.72535
477,103.01102
478,108.53542
479,108.53542
480,108.53542
481,108.53542
482,108.53542
483,108.53542
484,93.74848
485,93.74848
486,93.74848
487,93.74848
488,93.74848
489,99.72535
490,99.72535
491,53604.566
492,659791.6
493,93.769554
494,93.74848
495,93.74848
496,93.74848
497,93.74848
498,93.74848
499,93.74848
500,99.72535
501,103.01102
502,103.01102
503,103.01102
504,103.01102
505,108.53542
506,108.53542
507,108.53542
508,108.53542
509,56.886787
510,25527.445
511,25527.445
512,398.15335
513,1375.3219
514,398.15335
515,354.81674
516,56.886787
517,56.886787
518,398.15335
519,56.886787
520,153214.34
521,6775.4688
522,92.808945
523,92.808945
524,92.808945
525,6775.4688
526,4086.312
527,2144.4348
528,99.72535
529,99.72535
530,108.53542
531,108.53542
532,108.53542
533,108.53542
534,108.53542
535,108.53542
536,93.74848
537,93.74848
538,93.74848
539,93.74848
540,93.74848
541,103.01102
542,103.01102
543,2600.93
544,99.72535
545,99.72535
546,103.01102
547,108.53542
548,108.53542
549,108.53542
550,108.53542
551,108.53542
552,108.53542
553,108.53542
554,93.74848
555,93.74848
556,93.74848
557,93.74848
558,93.74848
559,564.02924
560,2144.4348
561,93.74848
